,pc_guess_fem_1,pc_guess_unknown_1,pc_detect_fem_1,pc_detect_unknown_1pc_guess_fem_3,pc_guess_unknown_3,pc_detect_fem_3,pc_detect_unknown_3,pc_guess_fem_5,pc_guess_unknown_5,pc_detect_fem_5,pc_detect_unknown_5,pc_guess_fem_10,pc_guess_unknown_10,pc_detect_fem_10,pc_detect_unknown_10,pc_detect_unknown_1,pc_guess_fem_3,pc_detect_fem_10_upper,pc_detect_fem_10_lower,pc_guess_fem_10_upper,pc_guess_fem_10_lower
1957,0.08333333333333333,0.0,0.0,,0.06451612903225806,0.14285714285714285,0.0967741935483871,0.23404255319148937,0.04081632653061224,0.24444444444444444,0.08163265306122448,0.22,0.06542056074766354,0.23404255319148937,0.12149532710280374,0.08333333333333333,0.13793103448275862,0.2644163849671903,0.20366872141578843,0.2363551401869159,0.2036448598130841
1956,0.0,0.1111111111111111,0.0,,0.06666666666666667,0.32142857142857145,0.06666666666666667,0.2926829268292683,0.046511627906976744,0.325,0.06976744186046512,0.24210526315789474,0.07766990291262135,0.2696629213483146,0.13592233009708737,0.1111111111111111,0.2857142857142857,0.30364350387258643,0.23568233882404277,0.2615227388860501,0.2226877874297394
1955,0.3333333333333333,0.1,0.4444444444444444,,0.03571428571428571,0.4230769230769231,0.07142857142857142,0.34146341463414637,0.046511627906976744,0.38461538461538464,0.09302325581395349,,,,,0.1,0.37037037037037035,,,,
1954,0.45454545454545453,0.0,0.45454545454545453,,0.0,0.391304347826087,0.041666666666666664,0.25925925925925924,0.01818181818181818,0.27450980392156865,0.07272727272727272,,,,,0.0,0.375,,,,
1953,0.2857142857142857,0.0,0.3333333333333333,,0.045454545454545456,0.3157894736842105,0.13636363636363635,0.2222222222222222,0.06896551724137931,0.24,0.13793103448275862,,,,,0.14285714285714285,0.2857142857142857,,,,
1952,0.3333333333333333,0.0,0.3333333333333333,,0.02702702702702703,0.20588235294117646,0.08108108108108109,0.20754716981132076,0.08620689655172414,0.22448979591836735,0.15517241379310345,,,,,0.0,0.19444444444444445,,,,
1951,0.25,0.1111111111111111,0.2857142857142857,,0.08888888888888889,0.21052631578947367,0.15555555555555556,0.2037037037037037,0.1,0.22448979591836735,0.18333333333333332,,,,,0.2222222222222222,0.1951219512195122,,,,
1950,0.13636363636363635,0.0,0.14285714285714285,,0.09302325581395349,0.19444444444444445,0.16279069767441862,,,,,,,,,0.045454545454545456,0.1794871794871795,,,,
1949,0.2727272727272727,0.21428571428571427,0.3,,0.1724137931034483,0.2857142857142857,0.27586206896551724,,,,,,,,,0.2857142857142857,0.25,,,,
1948,0.16666666666666666,0.14285714285714285,0.2,,,,,,,,,,,,,0.2857142857142857,,,,,
1947,0.2857142857142857,0.125,0.3333333333333333,,,,,,,,,,,,,0.25,,,,,
